Rank	Frequency	Word
1	1333	в
2	1297	и
3	1136	я
4	1086	не
5	1067	что
6	947	то
7	854	вот
8	817	А
9	787	это
10	747	на
11	626	Ну
12	614	там
13	608	как
14	539	ну
15	502	у
16	485	а
17	456	с
18	401	мы
19	397	так
20	369	да
21	364	очень
22	364	ты
23	346	есть
24	341	Я
25	326	Да
26	313	было
27	312	Вот
28	305	И
29	288	по
30	284	меня
31	281	мне
32	278	он
33	269	но
34	262	все
35	242	В
36	227	нас
37	227	они
38	218	когда
39	212	бы
40	208	уже
41	202	нрзб
42	199	из
43	198	она
44	198	просто
45	196	потому
46	189	Б
47	187	за
48	187	знаю
49	187	к
50	181	э
51	165	нет
52	164	вообще
53	164	же
54	160	была
55	158	всё
56	158	потом
57	154	Это
58	145	ещё
59	143	был
60	141	тоже
61	140	еще
62	138	или
63	138	Нет
64	137	такой
65	129	Мама
66	119	эээ
67	118	если
68	115	общем
69	114	Говорящий
70	113	его
71	113	про
72	112	такая
73	111	были
74	110	сейчас
75	109	их
76	108	даже
77	103	раз
78	103	тебе
79	100	о
80	99	Лиля
81	98	нибудь
82	97	чтобы
83	96	где
84	95	тебя
85	95	типа
86	94	П
87	93	значит
88	92	много
89	91	для
90	89	Бабушка
91	89	только
92	88	Анна
93	88	какие
94	86	Но
95	85	до
96	84	какой
97	83	Настя
98	83	этот
99	82	которые
100	82	кто
101	81	ээ
102	80	надо
103	78	будет
104	77	конечно
105	77	У
106	76	быть
107	76	Рома
108	76	такое
109	76	Ты
110	75	больше
111	75	можно
112	75	от
113	74	Не
114	74	смех
115	74	Что
116	73	вы
117	73	такие
118	69	может
119	69	самом
120	69	три
121	68	нам
122	68	То
123	68	этом
124	66	Костя
125	66	Студент
126	66	чем
127	65	короче
128	65	лет
129	64	деле
130	64	Логопед
131	64	На
132	63	время
133	63	Ребенок
134	61	ничего
135	61	Оля
136	60	Маша
137	60	С
138	60	тут
139	60	хорошо
140	59	Так
141	58	Мы
142	58	наверное
143	58	Там
144	58	тогда
145	58	этого
146	57	брат
147	57	помню
148	57	пять
149	57	сказать
150	56	Арина
151	55	Как
152	55	Полина
153	54	два
154	54	поэтому
155	53	Ваня
156	53	думаю
157	53	Катя
158	53	который
159	53	эти
160	52	М
161	52	Мне
162	50	Алёна
163	50	Гузель
164	50	него
165	50	человек
166	50	Эльза
167	50	этой
168	49	люди
169	49	например
170	49	почему
171	49	прямо
172	49	Смех
173	49	том
174	48	Говорят
175	48	минут
176	47	всегда
177	47	день
178	47	Елена
179	47	кстати
180	47	себе
181	46	здесь
182	46	ни
183	46	Никита
184	46	один
185	46	одновременно
186	46	Саша
187	46	туда
188	45	моему
189	45	того
190	45	эту
191	44	кажется
192	44	ли
193	44	Угу
194	43	во
195	43	Все
196	43	К
197	43	которая
198	42	всего
199	42	говорит
200	42	говорю
201	42	них
202	42	Они
203	41	Он
204	41	получается
205	41	Т
206	41	хотя
207	40	делать
208	40	знаешь
209	40	ладно
210	40	нужно
211	40	школу
212	40	эм
213	39	говорить
214	39	её
215	39	именно
216	39	людей
217	38	Алексей
218	38	жизни
219	38	Ирина
220	38	Ольга
221	38	сколько
222	38	со
223	38	через
224	38	Э
225	37	двадцать
226	37	достаточно
227	37	после
228	37	тем
229	37	ха
230	37	эта
231	36	Л
232	36	ммм
233	36	Потому
234	36	хочу
235	36	Юля
236	35	Андрей
237	35	ее
238	35	какая
239	35	себя
240	34	года
241	34	могу
242	34	мой
243	34	нравится
244	34	одна
245	34	Она
246	34	этим
247	33	Интервьюер
248	33	люблю
249	32	ba
250	32	mama
251	32	всех
252	32	две
253	32	Лера
254	32	Роман
255	31	без
256	31	Р
257	31	четыре
258	30	дело
259	30	ему
260	30	пока
261	30	теперь
262	29	блин
263	29	буду
264	29	под
265	29	при
266	29	Старший
267	28	говорят
268	28	давай
269	28	какое
270	28	куда
271	28	м
272	28	нормально
273	28	первый
274	28	сам
275	28	сама
276	28	сделать
277	28	таки
278	28	хотела
279	27	детей
280	27	ездили
281	27	иногда
282	27	Ой
283	27	понравилось
284	27	слова
285	27	совсем
286	26	M
287	26	Булат
288	26	вам
289	26	вроде
290	26	ей
291	26	З
292	26	им
293	26	интересно
294	26	мама
295	26	Потом
296	26	рассказать
297	26	смысле
298	26	хочешь
299	25	H
300	25	Варвара
301	25	Вика
302	25	Голос
303	25	жизнь
304	25	каждый
305	25	Короче
306	25	оно
307	25	Татьяна
308	25	хочется
309	24	всякие
310	24	деньги
311	24	Когда
312	24	нее
313	24	Очень
314	24	принципе
315	24	своей
316	24	чего
317	24	шесть
318	23	вопрос
319	23	времени
320	23	между
321	23	можешь
322	23	называется
323	23	равно
324	23	самое
325	23	таких
326	23	такого
327	23	те
328	22	Ага
329	22	дома
330	22	Если
331	22	какую
332	22	Матвей
333	22	мм
334	22	Может
335	22	ней
336	22	некоторые
337	22	О
338	22	обычно
339	22	часов
340	22	чтоб
341	22	чуть
342	22	школе
343	22	Ээ
344	21	большой
345	21	Виктор
346	21	Вообще
347	21	далее
348	21	Есть
349	21	жили
350	21	жить
351	21	класс
352	21	кого
353	21	либо
354	21	Миша
355	21	наверно
356	21	несколько
357	21	опять
358	21	По
359	21	свою
360	21	соответственно
361	21	спасибо
362	21	тобой
363	21	язык
364	20	Всё
365	20	Галя
366	20	дети
367	20	Дочка
368	20	друг
369	20	другому
370	20	думала
371	20	лучше
372	20	моя
373	20	свой
374	20	сегодня
375	20	Эээ
376	19	более
377	19	говоря
378	19	дальше
379	19	долго
380	19	другой
381	19	каких
382	19	Лариса
383	19	места
384	19	место
385	19	нельзя
386	19	никогда
387	19	ним
388	19	одной
389	19	Павел
390	19	плюс
391	19	Поэтому
392	19	приехали
393	19	прям
394	19	работать
395	19	расскажи
396	19	слово
397	19	стоит
398	19	хотел
399	19	чём
400	18	аа
401	18	весь
402	18	вечером
403	18	Вы
404	18	говоришь
405	18	год
406	18	Или
407	18	итоге
408	18	Конечно
409	18	Младший
410	18	Москве
411	18	немножко
412	18	никто
413	18	понимаю
414	18	пор
415	18	Просто
416	18	разных
417	18	сильно
418	18	стороны
419	18	тему
420	18	тот
421	18	тридцать
422	18	учиться
423	18	фильм
424	18	хоть
425	18	этих
426	17	будут
427	17	году
428	17	довольно
429	17	допустим
430	17	заниматься
431	17	зовут
432	17	Игорь
433	17	Из
434	17	кадром
435	17	могут
436	17	моей
437	17	начал
438	17	неё
439	17	поскольку
440	17	Почему
441	17	Сейчас
442	17	стал
443	17	ходила
444	17	час
445	17	человека
446	16	sg
447	16	Ааа
448	16	всем
449	16	второй
450	16	выборы
451	16	денег
452	16	десять
453	16	дня
454	16	дом
455	16	другие
456	16	Е
457	16	естественно
458	16	каким
459	16	кем
460	16	кому
461	16	наша
462	16	получилось
463	16	пошла
464	16	проблемы
465	16	разные
466	16	родители
467	16	русский
468	16	сказал
469	16	уж
470	16	учитель
471	16	ходили
472	16	Хорошо
473	16	читать
474	16	языке
475	15	Y
476	15	ааа
477	15	вас
478	15	видео
479	15	Г
480	15	Давай
481	15	ж
482	15	зачем
483	15	Значит
484	15	играть
485	15	классе
486	15	которой
487	15	метро
488	15	минуты
489	15	момент
490	15	наш
491	15	нашей
492	15	одно
493	15	перед
494	15	пожалуйста
495	15	понял
496	15	понятно
497	15	раньше
498	15	самый
499	15	семь
500	15	семьи
501	15	Сергей
502	15	сих
503	15	слишком
504	15	сразу
505	15	сюда
506	15	точно
507	15	школа
508	15	што
509	14	бабушка
510	14	будешь
511	14	вещи
512	14	вместе
513	14	вся
514	14	г
515	14	говори
516	14	девять
517	14	дела
518	14	должен
519	14	домой
520	14	других
521	14	Кирилл
522	14	которую
523	14	любит
524	14	Ммм
525	14	Н
526	14	наши
527	14	одну
528	14	ОлегСергеевич
529	14	особенно
530	14	помнишь
531	14	правда
532	14	пятнадцать
533	14	реально
534	14	России
535	14	свои
536	14	сказали
537	14	смотрю
538	14	сначала
539	14	совершенно
540	14	стать
541	14	Три
542	14	утра
543	13	D
544	13	Алина
545	13	бывает
546	13	возможно
547	13	восемь
548	13	говорила
549	13	господи
550	13	девочка
551	13	должны
552	13	другую
553	13	Еще
554	13	какими
555	13	каком
556	13	концерт
557	13	Кто
558	13	куча
559	13	мало
560	13	месте
561	13	Мм
562	13	мои
563	13	начала
564	13	новый
565	13	ой
566	13	основном
567	13	поехали
568	13	пойти
569	13	поняла
570	13	рублей
571	13	Света
572	13	смотреть
573	13	специально
574	13	твои
575	13	Тут
576	13	угу
577	13	улице
578	13	учились
579	13	ходить
580	13	хотелось
581	13	честно
582	13	Юлия
583	13	языка
584	12	ага
585	12	берег
586	12	видимо
587	12	всю
588	12	главное
589	12	говорил
590	12	Господи
591	12	давно
592	12	делали
593	12	делаю
594	12	детстве
595	12	друзья
596	12	думаешь
597	12	Думаю
598	12	знает
599	12	идет
600	12	идти
601	12	квартиру
602	12	кешью
603	12	которое
604	12	купил
605	12	купить
606	12	Ладно
607	12	любят
608	12	маленький
609	12	мать
610	12	машина
611	12	меньше
612	12	многие
613	12	море
614	12	надеюсь
615	12	Надо
616	12	наших
617	12	недавно
618	12	нравятся
619	12	первых
620	12	плане
621	12	плохо
622	12	поговорить
623	12	постоянно
624	12	почти
625	12	пятьдесят
626	12	работу
627	12	работы
628	12	решил
629	12	своим
630	12	своих
631	12	семье
632	12	скорее
633	12	сложно
634	12	смешно
635	12	собой
636	12	спокойно
637	12	часть
638	11	inan
639	11	большая
640	11	вдруг
641	11	весело
642	11	Владислав
643	11	всеми
644	11	говорили
645	11	давали
646	11	девочки
647	11	Ещё
648	11	завтра
649	11	знала
650	11	кадра
651	11	Какой
652	11	квартире
653	11	кроме
654	11	круто
655	11	машины
656	11	менее
657	11	минус
658	11	назад
659	11	наоборот
660	11	об
661	11	первой
662	11	писала
663	11	понимаешь
664	11	посмотреть
665	11	прошли
666	11	Расскажи
667	11	Рассказчик
668	11	связи
669	11	серьезно
670	11	сижу
671	11	скажем
672	11	смотри
673	11	собственно
674	11	Соседка
675	11	спать
676	11	страны
677	11	считаю
678	11	таким
679	11	тому
680	11	тысячи
681	11	утром
682	11	хорошие
683	11	хотели
684	11	часто
685	11	школы
686	10	б
687	10	будто
688	10	быстро
689	10	вопросы
690	10	восемьдесят
691	10	двух
692	10	девяносто
693	10	действительно
694	10	До
695	10	должна
696	10	ехать
697	10	забыл
698	10	знаете
699	10	картинка
700	10	ко
701	10	летом
702	10	Михаил
703	10	мной
704	10	Можно
705	10	найти
706	10	написано
707	10	начале
708	10	начали
709	10	нем
710	10	области
711	10	образом
712	10	озеро
713	10	окей
714	10	отец
715	10	пошел
716	10	прикольно
717	10	пришла
718	10	работа
719	10	работает
720	10	рассказывала
721	10	ребята
722	10	рядом
723	10	сами
724	10	своё
725	10	сказала
726	10	смешок
727	10	смеётся
728	10	собака
729	10	Спасибо
730	10	стали
731	10	стало
732	10	темы
733	10	ушёл
734	10	холодно
735	10	хороший
736	10	хотят
737	10	является
738	9	A
739	9	n
740	9	Аа
741	9	Ан
742	9	Анатолий
743	9	Ар
744	9	берут
745	9	Блин
746	9	большое
747	9	брали
748	9	ведет
749	9	взяли
750	9	взять
751	9	видишь
752	9	вкус
753	9	голос
754	9	город
755	9	города
756	9	городе
757	9	давайте
758	9	двенадцать
759	9	Дедушка
760	9	дней
761	9	другое
762	9	другом
763	9	друзей
764	9	живут
765	9	жил
766	9	зала
767	9	институте
768	9	интересные
769	9	историю
770	9	Какие
771	9	какого
772	9	классно
773	9	кошки
774	9	кхм
775	9	Леонид
776	9	маленькая
777	9	машине
778	9	мир
779	9	мое
780	9	нами
781	9	народ
782	9	насколько
783	9	невозможно
784	9	непонятно
785	9	никаких
786	9	обратно
787	9	особо
788	9	отношение
789	9	отношения
790	9	переехали
791	9	половиной
792	9	Понятно
793	9	пошли
794	9	Привет
795	9	примерно
796	9	пришлось
797	9	раза
798	9	расскажу
799	9	решили
800	9	руки
801	9	семья
802	9	ситуация
803	9	следующий
804	9	столько
805	9	страна
806	9	такую
807	9	танцами
808	9	текст
809	9	учителя
810	9	хочет
811	9	чай
812	9	часа
813	9	этому
814	8	acc
815	8	nom
816	8	ааa
817	8	абсолютно
818	8	английский
819	8	Белоруссии
820	8	брать
821	8	бывают
822	8	взял
823	8	вокруг
824	8	втором
825	8	ГоворящийА
826	8	ГоворящийБ
827	8	Давайте
828	8	далеко
829	8	дают
830	8	дверь
831	8	двести
832	8	делаешь
833	8	длинные
834	8	друга
835	8	ЕГЭ
836	8	едем
837	8	За
838	8	замечательно
839	8	занимается
840	8	зрения
841	8	иии
842	8	Илья
843	8	имеет
844	8	интересного
845	8	использовать
846	8	история
847	8	Италии
848	8	кашель
849	8	компании
850	8	Кому
851	8	которых
852	8	Кстати
853	8	купила
854	8	любишь
855	8	любой
856	8	людям
857	8	Лёва
858	8	маленькие
859	8	мамой
860	8	многих
861	8	могла
862	8	модель
863	8	можем
864	8	моих
865	8	Москву
866	8	Москвы
867	8	москвы
868	8	Надя
869	8	немного
870	8	нему
871	8	неудобно
872	8	нечего
873	8	никак
874	8	Никит
875	8	ними
876	8	ночь
877	8	нужен
878	8	обязательно
879	8	одном
880	8	около
881	8	опыт
882	8	осталось
883	8	паре
884	8	пару
885	8	поехал
886	8	получил
887	8	практически
888	8	придется
889	8	приехал
890	8	путь
891	8	работала
892	8	разговор
893	8	районе
894	8	рано
895	8	речь
896	8	решила
897	8	родителей
898	8	сделал
899	8	сделали
900	8	смесь
901	8	смотрел
902	8	смотрела
903	8	сожалению
904	8	Соответственно
905	8	среди
906	8	стала
907	8	студентов
908	8	твой
909	8	типо
910	8	тяжело
911	8	училась
912	8	учится
913	8	ушли
914	8	хе
915	8	ходят
916	8	хорошая
917	8	части
918	8	эт
919	7	Александра
920	7	бабушкой
921	7	Борис
922	7	брови
923	7	буквы
924	7	вечера
925	7	вещей
926	7	взяла
927	7	видно
928	7	вышел
929	7	говорим
930	7	готов
931	7	готовили
932	7	Два
933	7	двери
934	7	двумя
935	7	детьми
936	7	друзьями
937	7	ездить
938	7	женщина
939	7	живёт
940	7	забыла
941	7	задание
942	7	здорово
943	7	зимой
944	7	знал
945	7	идут
946	7	интересный
947	7	казалось
948	7	Карл
949	7	квартиры
950	7	километров
951	7	колесико
952	7	котором
953	7	красивый
954	7	лагеря
955	7	любовь
956	7	мемы
957	7	минимум
958	7	мог
959	7	можете
960	7	Моя
961	7	настолько
962	7	начинается
963	7	нашем
964	7	нашли
965	7	недели
966	7	неделю
967	7	ненавижу
968	7	нету
969	7	новые
970	7	номер
