Rank	Freq	2-gramm	
1	231	потому	что
2	185	то	есть
3	161	у	нас
4	160	не	знаю
5	156	у	меня
6	129	я	не
7	115	в	общем
8	103	как	то
9	96	что	я
10	95	что	то
11	82	то	что
12	81	как	бы
13	78	ну	вот
14	75	да	да
15	73	вот	и
16	72	ну	я
17	71	и	я
18	65	на	самом
19	63	самом	деле
20	61	ну	в
21	60	вот	так
22	56	какой	то
23	56	у	тебя
24	55	а	ну
25	55	что	это
26	54	вот	это
27	52	так	вот
28	51	а	я
29	51	и	вот
30	51	ну	да
31	50	а	а
32	50	это	было
33	49	а	да
34	49	а	ты
35	49	какие	то
36	47	ну	и
37	45	вот	а
38	45	и	в
39	44	а	вот
40	44	по	моему
41	43	а	потом
42	43	говорят	одновременно
43	42	очень	много
44	41	и	не
45	41	и	он
46	41	когда	я
47	40	да	а
48	39	вот	я
49	39	кто	то
50	39	что	ты
51	39	это	не
52	38	но	я
53	37	не	было
54	37	ну	не
55	36	и	так
56	36	и	там
57	36	ну	это
58	35	а	в
59	35	а	что
60	35	и	мы
61	34	вот	ну
62	34	где	то
63	34	ну	как
64	34	ну	то
65	34	что	у
66	33	может	быть
67	33	что	там
68	32	и	все
69	32	как	раз
70	31	вот	в
71	31	не	очень
72	30	да	я
73	30	мне	кажется
74	30	то	там
75	29	а	у
76	29	в	этом
77	29	старший	брат
78	29	у	него
79	29	ха	ха
80	28	а	как
81	28	то	не
82	27	даже	не
83	27	какая	то
84	27	нет	я
85	27	п	п
86	27	я	думаю
87	26	в	смысле
88	26	ну	что
89	25	а	з
90	25	как	ты
91	25	не	помню
92	25	ничего	не
93	25	ну	а
94	25	так	и
95	25	что	мы
96	25	что	он
97	24	в	принципе
98	24	в	том
99	24	м	л
100	24	ты	не
101	24	у	них
102	24	что	в
103	23	вот	как
104	23	да	вот
105	23	и	мне
106	23	из	за
107	23	мне	очень
108	23	ну	там
109	23	это	как
110	23	я	помню
111	22	а	и
112	22	как	это
113	22	мы	с
114	22	но	это
115	22	при	этом
116	22	том	что
117	22	что	мне
118	22	это	вот
119	21	а	не
120	21	в	ну
121	21	да	ну
122	21	и	всё
123	21	так	далее
124	21	что	нибудь
125	21	я	бы
126	21	я	была
127	21	я	в
128	20	а	б
129	20	а	на
130	20	было	очень
131	20	и	на
132	20	как	я
133	20	когда	мы
134	20	не	так
135	20	что	вот
136	20	это	очень
137	20	я	так
138	20	я	уже
139	19	бабушка	ну
140	19	в	школу
141	19	да	и
142	19	да	это
143	19	младший	брат
144	19	ну	так
145	19	с	тобой
146	19	так	как
147	19	так	что
148	19	это	всё
149	19	я	вот
150	18	все	таки
151	18	для	меня
152	18	если	ты
153	18	есть	это
154	18	и	как
155	18	и	она
156	18	и	у
157	18	и	это
158	18	нет	нет
159	18	ну	ладно
160	18	по	другому
161	18	пять	минут
162	18	то	вот
163	18	что	ещё
164	18	что	ли
165	18	что	она
166	18	я	говорю
167	18	я	знаю
168	18	я	тебе
169	18	я	тоже
170	17	а	там
171	17	да	в
172	17	за	кадром
173	17	и	они
174	17	как	мы
175	17	какое	то
176	17	какую	то
177	17	о	том
178	17	того	что
179	17	э	э
180	17	я	такая
181	16	а	ещё
182	16	а	мы
183	16	а	то
184	16	а	это
185	16	б	да
186	16	голос	за
187	16	е	к
188	16	знаю	что
189	16	и	когда
190	16	и	потом
191	16	и	ты
192	16	и	что
193	16	мама	ну
194	16	мне	нравится
195	16	не	могу
196	16	нет	ну
197	16	они	не
198	16	почему	то
199	16	поэтому	я
200	16	там	в
201	16	это	все
202	16	я	очень
203	16	я	просто
204	15	а	нет
205	15	б	а
206	15	в	итоге
207	15	в	москве
208	15	в	школе
209	15	вообще	не
210	15	вот	но
211	15	все	равно
212	15	всё	это
213	15	до	сих
214	15	знаю	как
215	15	и	то
216	15	какой	нибудь
217	15	мы	не
218	15	надо	было
219	15	но	вот
220	15	ну	типа
221	15	ну	у
222	15	сих	пор
223	15	то	в
224	15	то	как
225	15	что	ну
226	15	э	вот
227	15	это	был
228	15	это	вообще
229	14	а	есть
230	14	в	а
231	14	в	жизни
232	14	вот	мы
233	14	вот	то
234	14	вот	у
235	14	да	б
236	14	есть	я
237	14	и	вообще
238	14	какие	нибудь
239	14	каких	то
240	14	мне	не
241	14	мы	ездили
242	14	мы	там
243	14	не	в
244	14	не	только
245	14	никто	не
246	14	но	в
247	14	ну	ну
248	14	о	чем
249	14	они	были
250	14	первый	раз
251	14	потом	я
252	14	про	то
253	14	просто	не
254	14	смех	а
255	14	то	и
256	14	у	нее
257	14	это	просто
258	14	это	это
259	14	это	я
260	14	я	даже
261	14	я	его
262	14	я	как
263	14	я	хочу
264	14	я	я
265	13	а	так
266	13	в	основном
267	13	вот	вот
268	13	вот	он
269	13	вот	ты
270	13	вот	эта
271	13	говорящий	вот
272	13	голос	из
273	13	к	к
274	13	каким	то
275	13	никогда	не
276	13	ну	мы
277	13	ну	ты
278	13	с	этим
279	13	так	сказать
280	13	там	было
281	13	там	все
282	13	там	не
283	13	то	ну
284	13	ты	можешь
285	13	уже	не
286	13	хотя	бы
287	13	что	а
288	12	а	когда
289	12	анна	а
290	12	в	какой
291	12	в	этой
292	12	в	этот
293	12	вот	эти
294	12	да	но
295	12	если	бы
296	12	знаю	я
297	12	как	же
298	12	когда	ты
299	12	меня	есть
300	12	меня	это
301	12	на	на
302	12	не	то
303	12	но	не
304	12	о	чём
305	12	общем	то
306	12	она	такая
307	12	расскажи	про
308	12	т	в
309	12	там	ну
310	12	ты	хочешь
311	12	что	они
312	12	это	самое
313	12	юля	да
314	12	я	вообще
315	12	я	люблю
316	12	я	ну
317	12	я	с
318	11	а	он
319	11	арина	да
320	11	в	да
321	11	вика	а
322	11	во	первых
323	11	вот	там
324	11	вот	эээ
325	11	да	нет
326	11	как	как
327	11	как	она
328	11	меня	в
329	11	мне	было
330	11	не	на
331	11	не	ну
332	11	нет	а
333	11	ну	давай
334	11	он	просто
335	11	он	такой
336	11	пошла	в
337	11	раз	в
338	11	с	ним
339	11	там	с
340	11	ты	знаешь
341	11	у	неё
342	11	что	такое
343	11	что	что
344	11	это	будет
345	11	это	была
346	11	это	в
347	11	это	уже
348	11	я	думала
349	11	я	там
350	10	mama	да
351	10	а	еще
352	10	а	почему
353	10	а	сейчас
354	10	бы	не
355	10	в	детстве
356	10	вот	сейчас
357	10	вот	этот
358	10	все	это
359	10	говорящий	угу
360	10	гузель	а
361	10	да	ладно
362	10	до	этого
363	10	думала	что
364	10	за	кадра
365	10	и	по
366	10	к	нам
367	10	каждый	день
368	10	как	будто
369	10	как	в
370	10	люди	которые
371	10	мама	а
372	10	мы	такие
373	10	на	море
374	10	нас	не
375	10	не	надо
376	10	нет	это
377	10	но	они
378	10	но	при
379	10	нрзб	ну
380	10	ну	на
381	10	ну	он
382	10	ну	с
383	10	один	раз
384	10	он	говорит
385	10	очень	люблю
386	10	очень	сильно
387	10	очень	хорошо
388	10	п	да
389	10	п	я
390	10	рома	нет
391	10	рома	ну
392	10	сказать	что
393	10	там	где
394	10	там	и
395	10	тем	что
396	10	три	года
397	10	ты	что
398	10	что	бы
399	10	что	еще
400	10	это	так
401	10	это	что
402	10	я	понимаю
403	10	я	это
404	9	а	ага
405	9	а	если
406	9	а	кто
407	9	а	но
408	9	а	она
409	9	а	с
410	9	б	нет
411	9	был	такой
412	9	было	бы
413	9	в	начале
414	9	в	плане
415	9	в	то
416	9	вот	да
417	9	вот	на
418	9	вот	с
419	9	вот	такой
420	9	вот	что
421	9	все	было
422	9	все	время
423	9	г	г
424	9	говорящий	а
425	9	говорящий	ну
426	9	думаю	что
427	9	ездили	в
428	9	еще	я
429	9	и	э
430	9	из	зала
431	9	или	что
432	9	какими	то
433	9	когда	то
434	9	когда	у
435	9	мама	смех
436	9	на	улице
437	9	на	этом
438	9	нас	был
439	9	не	не
440	9	но	как
441	9	но	потом
442	9	ну	короче
443	9	ну	потому
444	9	она	не
445	9	опять	же
446	9	очень	очень
447	9	пять	лет
448	9	с	половиной
449	9	скажем	так
450	9	скорее	всего
451	9	студент	а
452	9	так	же
453	9	такие	ну
454	9	там	был
455	9	там	есть
456	9	там	на
457	9	там	очень
458	9	там	я
459	9	типа	ну
460	9	то	же
461	9	то	я
462	9	того	чтобы
463	9	том	как
464	9	у	вас
465	9	что	все
466	9	что	не
467	9	что	тебе
468	9	это	же
469	9	я	могу
470	9	я	считаю
471	8	а	вы
472	8	а	они
473	8	а	тут
474	8	алёна	угу
475	8	б	не
476	8	бабушка	а
477	8	больше	всего
478	8	бы	это
479	8	была	в
480	8	была	очень
481	8	в	в
482	8	в	каком
483	8	в	метро
484	8	в	нем
485	8	в	это
486	8	ваня	да
487	8	вот	еще
488	8	вот	когда
489	8	вот	не
490	8	все	эти
491	8	всё	равно
492	8	да	мы
493	8	да	на
494	8	да	они
495	8	да	так
496	8	другой	стороны
497	8	елена	а
498	8	если	вы
499	8	есть	вот
500	8	есть	там
501	8	ещё	что
502	8	знаю	в
503	8	и	если
504	8	и	очень
505	8	и	поэтому
506	8	к	сожалению
507	8	каком	то
508	8	катя	ну
509	8	костя	ээ
510	8	мы	все
511	8	мы	приехали
512	8	не	будет
513	8	не	менее
514	8	не	может
515	8	не	хочу
516	8	ни	о
517	8	никита	я
518	8	нрзб	а
519	8	ну	расскажи
520	8	одновременно	я
521	8	он	на
522	8	очень	понравилось
523	8	потом	мы
524	8	с	другой
525	8	с	кем
526	8	с	мамой
527	8	саша	да
528	8	так	а
529	8	так	это
530	8	там	по
531	8	там	что
532	8	то	ли
533	8	то	такое
534	8	то	у
535	8	три	дня
536	8	ты	на
537	8	ты	сейчас
538	8	ты	уже
539	8	угу	говорящий
540	8	угу	ирина
541	8	хорошо	а
542	8	чем	то
543	8	что	было
544	8	это	и
545	8	это	когда
546	8	я	буду
547	8	я	ещё
548	8	я	значит
549	8	я	на
550	8	я	хотела
551	7	ага	а
552	7	б	вот
553	7	б	и
554	7	был	очень
555	7	было	в
556	7	было	не
557	7	в	городе
558	7	в	другую
559	7	в	институте
560	7	в	первый
561	7	в	семь
562	7	в	семье
563	7	в	эту
564	7	вообще	то
565	7	вот	здесь
566	7	вот	потом
567	7	вот	просто
568	7	вот	такие
569	7	вот	уже
570	7	вроде	бы
571	7	вроде	как
572	7	говорю	ну
573	7	да	ba
574	7	да	то
575	7	да	у
576	7	две	тысячи
577	7	деле	я
578	7	для	того
579	7	думаю	ну
580	7	есть	в
581	7	есть	ты
582	7	еще	у
583	7	знаю	там
584	7	и	а
585	7	и	дело
586	7	и	еще
587	7	и	за
588	7	и	ммм
589	7	и	с
590	7	и	уже
591	7	или	в
592	7	или	просто
593	7	или	там
594	7	к	а
595	7	к	нему
596	7	к	ним
