Rank	Freq	Keyness	Keyword
1	1136	2191.533	я
2	1086	52.293	не
3	1067	121.068	что
4	947	979.271	то
5	854	1819.592	вот
6	817	2209.101	А
7	787	339.755	это
8	626	1692.653	Ну
9	614	1254.391	там
10	608	254.389	как
11	539	1267.698	ну
12	502	226.351	у
13	485	100.245	а
14	401	279.391	мы
15	397	291.81	так
16	369	793.725	да
17	364	478.424	очень
18	364	891.5	ты
19	346	174.93	есть
20	341	922.036	Я
21	326	881.477	Да
22	313	200.16	было
23	312	843.623	Вот
24	305	824.695	И
25	284	600.521	меня
26	281	610.608	мне
27	278	1.243	он
28	262	73.813	все
29	242	654.348	В
30	227	305.314	нас
31	227	87.133	они
32	218	166.846	когда
33	212	88.782	бы
34	208	37.367	уже
35	202	546.192	нрзб
36	198	129.146	она
37	198	310.865	просто
38	196	217.603	потому
39	189	511.041	Б
40	187	449.573	знаю
41	181	489.409	э
42	165	87.469	нет
43	164	268.148	вообще
44	164	38.875	же
45	160	131.134	была
46	158	427.219	всё
47	158	286.391	потом
48	154	416.403	Это
49	145	392.068	ещё
50	143	20.142	был
51	141	183.478	тоже
52	140	9.533	еще
53	138	14.835	или
54	138	373.141	Нет
55	137	113.347	такой
56	129	348.805	Мама
57	119	321.766	эээ
58	115	234.638	общем
59	114	308.247	Говорящий
60	113	233.677	про
61	112	187.621	такая
62	111	8.323	были
63	110	2.278	сейчас
64	109	0.009	их
65	108	23.948	даже
66	103	56.197	раз
67	103	259.896	тебе
68	99	267.688	Лиля
69	98	196.355	нибудь
70	97	9.803	чтобы
71	96	46.348	где
72	95	246.353	тебя
73	95	201.015	типа
74	94	254.168	П
75	93	149.7	значит
76	92	94.456	много
77	89	240.649	Бабушка
78	88	237.945	Анна
79	88	101.188	какие
80	86	232.537	Но
81	84	109.642	какой
82	83	224.425	Настя
83	83	7.054	этот
84	82	48.423	кто
85	81	219.017	ээ
86	80	48.242	надо
87	77	65.382	конечно
88	77	208.202	У
89	76	205.498	Рома
90	76	72.733	такое
91	76	205.498	Ты
92	75	10.18	больше
93	75	3.179	можно
94	74	200.09	Не
95	74	200.09	смех
96	74	200.09	Что
97	73	58.781	вы
98	73	59.948	такие
99	69	81.313	самом
100	69	23.921	три
101	68	68.281	нам
102	68	183.866	То
103	66	178.459	Костя
104	66	178.459	Студент
105	65	175.755	короче
106	65	0.738	лет
107	64	49.929	деле
108	64	173.051	Логопед
109	64	173.051	На
110	63	170.347	Ребенок
111	61	59.943	ничего
112	61	164.939	Оля
113	60	162.235	Маша
114	60	162.235	С
115	60	98.831	тут
116	60	68.915	хорошо
117	59	159.531	Так
118	58	156.827	Мы
119	58	94.275	наверное
120	58	156.827	Там
121	58	9.291	тогда
122	57	144.619	брат
123	57	154.123	помню
124	57	54.206	пять
125	57	70.048	сказать
126	56	151.419	Арина
127	55	148.716	Как
128	55	148.716	Полина
129	54	0.077	два
130	54	2.045	поэтому
131	53	143.308	Ваня
132	53	55.627	думаю
133	53	143.308	Катя
134	53	1.597	эти
135	52	140.604	М
136	52	140.604	Мне
137	50	135.196	Алёна
138	50	135.196	Гузель
139	50	16.12	него
140	50	6.041	человек
141	50	135.196	Эльза
142	50	0.448	этой
143	49	32.988	люди
144	49	2.239	например
145	49	46.912	почему
146	49	79.187	прямо
147	49	132.492	Смех
148	48	129.788	Говорят
149	48	79.614	минут
150	47	21.231	всегда
151	47	21.929	день
152	47	127.084	Елена
153	47	93.241	кстати
154	47	36.128	себе
155	46	24.385	здесь
156	46	1.135	ни
157	46	124.38	Никита
158	46	65.312	одновременно
159	46	124.38	Саша
160	46	80.748	туда
161	45	88.324	моему
162	45	12.222	эту
163	44	53.212	кажется
164	44	118.972	Угу
165	43	116.268	Все
166	43	116.268	К
167	42	77.565	говорю
168	42	113.565	Они
169	41	110.861	Он
170	41	69.11	получается
171	41	110.861	Т
172	41	3.379	хотя
173	40	24.565	делать
174	40	99.353	знаешь
175	40	108.157	ладно
176	40	0.383	нужно
177	40	99.353	школу
178	40	108.157	эм
179	39	13.938	говорить
180	39	105.453	её
181	39	4.133	именно
182	39	17.038	людей
183	38	102.749	Алексей
184	38	43.198	жизни
185	38	102.749	Ирина
186	38	102.749	Ольга
187	38	34.358	сколько
188	38	102.749	Э
189	37	91.395	двадцать
190	37	11.327	достаточно
191	37	100.045	ха
192	37	3.972	эта
193	36	97.341	Л
194	36	97.341	ммм
195	36	97.341	Потому
196	36	60.407	хочу
197	36	97.341	Юля
198	35	94.637	Андрей
199	35	55.442	какая
200	35	11.39	себя
201	34	50.757	могу
202	34	68.755	мой
203	34	61.709	нравится
204	34	20.525	одна
205	34	91.933	Она
206	34	6.132	этим
207	33	89.229	Интервьюер
208	33	75.095	люблю
209	32	67.846	ba
210	32	86.525	mama
211	32	25.531	две
212	32	86.525	Лера
213	32	86.525	Роман
214	31	83.821	Р
215	31	19.86	четыре
216	30	0.257	дело
217	30	0.012	ему
218	30	1.709	теперь
219	29	78.414	блин
220	29	44.57	буду
221	29	78.414	Старший
222	28	6.637	говорят
223	28	75.71	давай
224	28	44.873	какое
225	28	26.222	куда
226	28	1.237	м
227	28	50.632	нормально
228	28	0.034	первый
229	28	3.255	сам
230	28	19.272	сама
231	28	5.091	сделать
232	28	21.359	таки
233	28	67.609	хотела
234	27	51.559	детей
