Rank	Freq	2-gramm	
1	343	млрд	руб
2	320	в	году
3	172	по	его
4	168	из	за
5	166	в	том
6	136	том	что
7	134	его	словам
8	134	может	быть
9	132	в	россии
10	132	и	в
11	129	при	этом
12	121	о	том
13	119	что	в
14	118	в	этом
15	109	по	словам
16	109	том	числе
17	107	близкий	к
18	104	млн	руб
19	104	то	что
20	103	а	также
21	98	за	счет
22	93	сказал	рбк
23	91	рбк	что
24	90	и	не
25	82	один	из
26	82	потому	что
27	81	по	данным
28	80	не	будет
29	79	в	случае
30	75	в	начале
31	75	не	только
32	74	россии	и
33	72	в	конце
34	72	со	стороны
35	72	так	и
36	72	то	есть
37	68	говорится	в
38	68	и	на
39	68	по	итогам
40	66	но	и
41	64	кроме	того
42	63	в	отношении
43	62	в	течение
44	61	в	частности
45	61	говорит	он
46	60	пока	не
47	60	рассказал	рбк
48	60	рбк	в
49	60	у	нас
50	59	в	москве
51	59	руб	в
52	59	с	продаж
53	58	в	качестве
54	58	единой	россии
55	58	из	них
56	58	источник	в
57	57	а	в
58	57	это	не
59	56	россии	в
60	55	в	правительстве
61	55	на	украине
62	55	несмотря	на
63	54	в	августе
64	54	в	пятницу
65	54	до	млрд
66	53	на	млрд
67	53	этого	года
68	52	в	июле
69	52	заявил	что
70	51	в	первом
71	50	в	рамках
72	50	в	результате
73	50	источник	близкий
74	50	на	до
75	50	собеседник	рбк
76	50	этом	году
77	49	банк	россии
78	49	по	сравнению
79	49	сравнению	с
80	48	афк	система
81	48	связи	с
82	46	в	четверг
83	46	до	конца
84	46	рбк	представитель
85	46	руб	за
86	46	того	что
87	45	в	целом
88	45	об	этом
89	45	точки	зрения
90	44	до	года
91	44	налога	с
92	44	только	в
93	43	в	связи
94	43	в	ходе
95	43	могут	быть
96	43	не	было
97	42	во	вторник
98	42	вопрос	о
99	42	главный	экономист
100	42	млн	т
101	41	в	то
102	41	и	так
103	41	на	то
104	41	не	может
105	41	считают	что
106	40	на	украину
107	40	по	мнению
108	40	тыс	руб
109	39	а	не
110	39	на	год
111	39	но	в
112	39	он	не
113	39	считает	что
114	39	что	он
115	38	еще	в
116	38	около	млрд
117	38	рбк	источник
118	38	сообщил	рбк
119	38	так	как
120	38	того	как
121	38	трлн	руб
122	37	в	условиях
123	37	речь	идет
124	37	с	до
125	37	следует	из
126	37	что	это
127	36	в	год
128	36	вместе	с
129	36	года	в
130	36	как	и
131	36	комитета	по
132	36	не	менее
133	36	таким	образом
134	35	и	с
135	35	на	рынке
136	35	на	сайте
137	35	от	комментариев
138	35	по	кредитам
139	35	решение	о
140	35	совета	директоров
141	35	цен	на
142	34	в	понедельник
143	34	вряд	ли
144	34	говорит	источник
145	34	куб	м
